# ============================================================
# A-OSP Master Table 1 Draft
# Target paper section: §4 "Main Results" / Table 1
# Last updated: 2026-03-20
#
# COLUMN LEGEND
#   table_block        : LaTeX \midrule grouping label
#   model_arch         : Backbone model (arch+size)
#   method             : Decoding / alignment method name
#   venue_year         : Publication venue for cited rows; "Ours" for own runs
#   pope_f1            : POPE F1 score (primary hallucination metric)
#   pope_acc           : POPE Accuracy
#   pope_yes_pct       : POPE Yes-ratio (bias indicator; ideal ≈ 50%)
#   pope_agl           : Avg Generation Length on POPE (anti-Length-Bias-Trap metric)
#   pope_n_samples     : Number of POPE samples evaluated
#   pope_split         : POPE evaluation split (random / popular / adversarial)
#   pope_metric_note   : Metric caveat (e.g. "accuracy not F1" for FarSight)
#   chair_s            : CHAIR_s score (open-ended captioning hallucination; LOWER=better)
#   chair_s_note       : Measurement note (max_tokens, n_images, source)
#   mmhal_gpt4_score   : MMHal-Bench GPT-4 judge score 0-4 (HIGHER=better)
#   mmhal_agl          : Avg Generation Length on MMHal (anti-LBT evidence)
#   mmhal_n_interventions: Total A-OSP intervention count on MMHal (our runs only)
#   throughput_tps     : Tokens per second (generation throughput)
#   delta_latency_pct  : Latency overhead vs Base model (%)
#   vram_gb            : Peak GPU VRAM (GB)
#   mmmu               : MMMU accuracy (general capability probe)
#   data_status        : VERIFIED_CITED / FULL_RUN / MINI_100 / MINI_50 / PENDING_AGENT2 / DEPRECATED
#   source_file_or_ref : Source file path (logs/) or citation reference
# ============================================================
table_block,model_arch,method,venue_year,pope_f1,pope_acc,pope_yes_pct,pope_agl,pope_n_samples,pope_split,pope_metric_note,chair_s,chair_s_note,mmhal_gpt4_score,mmhal_agl,mmhal_n_interventions,throughput_tps,delta_latency_pct,vram_gb,mmmu,data_status,source_file_or_ref
# ─────────────────────────────────────────────────────────────────────────────────────
# BLOCK 1 — CEILING REFERENCE (cited†; not reproduced locally)
# ─────────────────────────────────────────────────────────────────────────────────────
ceiling_ref,Qwen3-VL-32B-Instruct,Base (ceiling†),arXiv:2511.21631,N/R,N/R,N/R,N/R,N/R,N/R,POPE not in official eval suite,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,76.0,VERIFIED_CITED,arXiv:2511.21631 Table 3 col 4 (32B-Instruct)
# ─────────────────────────────────────────────────────────────────────────────────────
# BLOCK 2 — CONCURRENT SOTA (cited†; cross-architecture note: LLaVA family backbone)
# All POPE scores below use LLaVA-1.5-7B backbone unless noted
# ─────────────────────────────────────────────────────────────────────────────────────
sota_llava,LLaVA-1.5-7B,Base (Regular),—,0.8344,0.8313,N/R,N/R,9000,random,F1 (avg over 9k POPE),0.550,LLaVA-1.5 Regular decoding max_tok=128 (ONLY Table 2 baseline),N/R,N/R,N/R,N/R,N/R,N/R,N/R,VERIFIED_CITED,ONLY ICCV'25 paper Table 1+2 (baseline row)
sota_llava,LLaVA-1.5-7B,FarSight,CVPR 2025,N/R,0.905,N/R,N/R,N/R,random,⚠ Accuracy (NOT F1); POPE-R split only,0.416,LLaVA-1.5-7B max_tok unspecified; FarSight Table 2,N/R,N/R,N/R,N/R,N/R,N/R,N/R,VERIFIED_CITED,FarSight CVPR'25 paper Table 2 (p.26152)
sota_llava,LLaVA-1.5-7B,ONLY,ICCV 2025,0.8910,0.8970,N/R,N/R,9000,random,F1 directly reported,0.498,LLaVA-1.5-7B max_tok=128 CHAIRS_128 column,N/R,N/R,N/R,N/R,N/R,N/R,N/R,VERIFIED_CITED,ONLY ICCV'25 paper Table 1 (F1=89.10) + Table 2 (CHAIRS=49.8) + Table 5 cross-check
sota_llava,LLaVA-v1.5-7B,SCPO (v1.5-7B),ICLR 2026,N/R,N/R,N/R,N/R,N/R,N/R,POPE NOT reported; uses AMBER-Disc F1=0.873 instead,0.203,Object HalBench 300 COCO-val instances; Hard curriculum stage; baseline CHAIRS=0.547 (−62.9%),N/R,N/R,N/R,N/R,N/R,N/R,N/R,VERIFIED_CITED,SCPO arXiv:2509.24491 Table 2 +Hard row (v1.5-7B)
sota_llava,LLaVA-v1.6-7B,SCPO (v1.6-7B best),ICLR 2026,N/R,N/R,N/R,N/R,N/R,N/R,POPE NOT reported; uses AMBER-Disc F1=0.892 instead,0.070,Object HalBench 300 COCO-val instances; Hard curriculum stage; baseline CHAIRS=0.120 (−41.7%),N/R,N/R,N/R,N/R,N/R,N/R,N/R,VERIFIED_CITED,SCPO arXiv:2509.24491 Table 1 (SCPO-7B row on v1.6-7B backbone)
# ─────────────────────────────────────────────────────────────────────────────────────
# BLOCK 3 — QWEN2-VL-7B-INSTRUCT (Full-scale archival run; FA2; DEPRECATED main model)
# These are the full 3000-sample POPE + 96-sample MMHal runs from Session 2
# Kept in table for architectural continuity / Appendix reference
# ─────────────────────────────────────────────────────────────────────────────────────
qwen2vl_7b,Qwen2-VL-7B-Instruct,Base,Ours (Archived),0.8727,0.882,42.67,2.0,3000,popular,F1,N/A,Not run on Q2VL,N/R,27.5,0,48.92,0.00,15.51,N/R,FULL_RUN,logs/eval_results/pope_full_base_summary.csv + mmhal_full_base_summary.csv + final_base_throughput.json
qwen2vl_7b,Qwen2-VL-7B-Instruct,A-OSP (Ours),Ours (Archived),0.8727,0.882,42.67,2.0,3000,popular,F1; 0 interventions (yes/no bypass burn-in as designed),N/A,Not run on Q2VL,N/R,28.0,24,48.42,+1.02,15.51,N/R,FULL_RUN,logs/eval_results/pope_full_aosp_summary.csv + mmhal_full_aosp_summary.csv + final_aosp_throughput.json
# ─────────────────────────────────────────────────────────────────────────────────────
# BLOCK 4 — QWEN3-VL-8B-INSTRUCT (Current main model; FA2; Agent 2 ACTIVE)
# ⚠ POPE rows below from iso-compute 100-sample run (§18.6)
# ⚠ FULL 3000-sample POPE → PENDING AGENT 2 (replace when complete)
# ⚠ CHAIR_s for A-OSP and MajV → PENDING AGENT 2
# ⚠ MMHal GPT-4 score → PENDING (requires GPT-4 API call)
# ─────────────────────────────────────────────────────────────────────────────────────
qwen3vl_8b,Qwen3-VL-8B-Instruct,Base,Ours,PENDING_3000,0.90,N/R,16.2,100,popular,F1 (100-sample iso-compute; FULL 3000 pending Agent 2),0.580,Q3VL-8B Base 50-sample COCO (mini-batch; full pending),N/R,N/R,0,N/R,0.00,16.42,N/R,PENDING_AGENT2,logs/eval_results/iso_compute_full_run.json (POPE.Base) + logs/eval_results/chair_base_n50_captions_chair_scores.json
qwen3vl_8b,Qwen3-VL-8B-Instruct,Majority Voting (3-pass),Ours (TTC baseline),PENDING_3000,0.89,N/R,16.0,100,popular,F1 (100-sample iso-compute; FULL 3000 pending Agent 2),PENDING,CHAIR_s run pending Agent 2,N/R,N/R,N/A,N/R,+193.1,16.42,N/R,PENDING_AGENT2,logs/eval_results/iso_compute_full_run.json (POPE.MajorityVoting)
qwen3vl_8b,Qwen3-VL-8B-Instruct,A-OSP (Ours),Ours,PENDING_3000,0.90,N/R,16.5,100,popular,F1 (100-sample iso-compute; FULL 3000 pending Agent 2),PENDING,CHAIR_s run pending Agent 2,N/R,N/R,PENDING,N/R,+4.2,16.42,N/R,PENDING_AGENT2,logs/eval_results/iso_compute_full_run.json (POPE.A-OSP)
