Dataset,Metric,Value,Model,Method,Venue_Year,Source_URL,Protocol_Note,Integrity_Status,Citation_Conflict_Note
# ============================================================
# BRA Project — Baseline Matrix (Node 5 Input)
# Compiled: 2026-03-20 | Zero hallucination policy enforced
# Every number below has a direct verbatim proof in baseline_evidence_log.md
# ============================================================
# ─────────────────────────────────────────────────────────────
# SECTION A: BASE MODEL REFERENCE (LLaVA-1.5-7B)
# Source: ONLY ICCV 2025 paper Table 1+2 (verbatim)
# URL: https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf
# ─────────────────────────────────────────────────────────────
POPE (MS-COCO Random),F1,83.44,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,Sampling decoding; ONLY paper Table 1 row 'Regular'; n=9000 COCO,VERIFIED_VERBATIM,—
POPE (MS-COCO Popular),F1,82.08,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,Sampling decoding; ONLY paper Table 1 row 'Regular',VERIFIED_VERBATIM,—
POPE (MS-COCO Adversarial),F1,79.26,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,Sampling decoding; ONLY paper Table 1 row 'Regular'; Adversarial section,VERIFIED_VERBATIM,—
CHAIR_s (max_tok=64),Score,26.2,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,ONLY paper Table 2 row 'Regular' col 'CHAIRS/max64'; 500 COCO val images,VERIFIED_VERBATIM,—
CHAIR_s (max_tok=128),Score,55.0,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,ONLY paper Table 2 row 'Regular' col 'CHAIRS/max128',VERIFIED_VERBATIM,—
CHAIR_i (max_tok=64),Score,9.4,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,ONLY paper Table 2 row 'Regular' col 'CHAIRI/max64',VERIFIED_VERBATIM,—
CHAIR_i (max_tok=128),Score,16.3,LLaVA-1.5-7B,Base (Regular),—,https://openaccess.thecvf.com/content/ICCV2025/papers/Wan_ONLY_One-Layer_Intervention_Sufficiently_Mitigates_Hallucinations_in_Large_Vision-Language_Models_ICCV_2025_paper.pdf,ONLY paper Table 2 row 'Regular' col 'CHAIRI/max128',VERIFIED_VERBATIM,—
HallusionBench,Question Pair Acc (%),9.45,LLaVA-1.5-7B,Base (Regular),CVPR 2024,https://github.com/tianyi-lab/HallusionBench,Human Eval; original paper leaderboard,VERIFIED_VERBATIM,GPT-Eval gives 10.55; use Human Eval 9.45 as primary
HallusionBench,Figure Acc (%),25.43,LLaVA-1.5-7B,Base (Regular),CVPR 2024,https://github.com/tianyi-lab/HallusionBench,Human Eval; original paper leaderboard,VERIFIED_VERBATIM,—
HallusionBench,Hard Q Acc (%),29.07,LLaVA-1.5-7B,Base (Regular),CVPR 2024,https://github.com/tianyi-lab/HallusionBench,Human Eval; original paper leaderboard,VERIFIED_VERBATIM,—
# ─────────────────────────────────────────────────────────────
# SECTION B: VCD (Visual Contrastive Decoding, CVPR 2024)
# arXiv:2311.16922 | Primary source: ONLY paper Table 1+2+5 (verbatim cross-check)
# ─────────────────────────────────────────────────────────────
POPE (MS-COCO Random),F1,87.15,LLaVA-1.5-7B,VCD,CVPR 2024,https://arxiv.org/abs/2311.16922,ONLY Table 1 + ONLY Table 5 double-confirmed; sampling decoding; n=9000,VERIFIED_VERBATIM,Confirmed ×2 sources within ONLY paper
POPE (MS-COCO Popular),F1,83.94,LLaVA-1.5-7B,VCD,CVPR 2024,https://arxiv.org/abs/2311.16922,ONLY Table 1 row 'VCD' Popular section,VERIFIED_VERBATIM,—
POPE (MS-COCO Adversarial),F1,79.47,LLaVA-1.5-7B,VCD,CVPR 2024,https://arxiv.org/abs/2311.16922,ONLY Table 1 row 'VCD' Adversarial section; Acc=77.17 Prec=72.18 Rec=88.40 F1=79.47,VERIFIED_VERBATIM,VCD marginally worse than Regular on Adversarial (79.47 vs 79.26); see conflict note
CHAIR_s (max_tok=64),Score,24.4,LLaVA-1.5-7B,VCD,CVPR 2024,https://arxiv.org/abs/2311.16922,ONLY Table 2 row 'VCD' col 'CHAIRS/max64'; vs baseline 26.2 (−1.8),VERIFIED_VERBATIM,—
CHAIR_s (max_tok=128),Score,54.4,LLaVA-1.5-7B,VCD,CVPR 2024,https://arxiv.org/abs/2311.16922,ONLY Table 2 + ONLY Table 5; vs baseline 55.0 (−0.6); marginal at max_tok=128,VERIFIED_VERBATIM,Marginal improvement at max_tok=128; strong at max_tok=64
CHAIR_i (max_tok=64),Score,7.9,LLaVA-1.5-7B,VCD,CVPR 2024,https://arxiv.org/abs/2311.16922,ONLY Table 2 row 'VCD' col 'CHAIRI/max64',VERIFIED_VERBATIM,—
